source,model,brand,price,depreciation,registration_date,coe_remaining_mths,mileage
motorist.sg,Volkswagen Golf 1.4 Tsi At 5G13Hz,Volkswagen,63800,15031,29/7/16,46,119600
motorist.sg,Mercedes Benz Cla45 Amg Coupe 4Matic Auto,Mercedes,181800,33619,1/3/17,53,70000
motorist.sg,Citroen Grand C4 Picasso 1.6 Bluehdi Eat6 S/R,Citroen,54800,14629,26/11/15,38,86000
motorist.sg,Bmw 220I Coupe Sr Hid Nav,Bmw,59800,24681,12/5/14,20,89000
motorist.sg,Mercedes Benz C180K,Mercedes,70000,10265,28/12/09,81,126500
motorist.sg,Lexus Es250 Executive A/T S/R,Lexus,129900,20757,29/11/17,62,23800
motorist.sg,Porsche Cayman S Tip,Porsche,96800,27095,3/4/06,42,31000
motorist.sg,Hyundai Accent (Rb) 1.4 Cvt,Hyundai,68800,9883,9/3/19,78,161000
motorist.sg,Audi S4 Sedan 3.0 Tfsi Qu Tip,Audi,188888,29873,15/8/17,59,62000
motorist.sg,Citroen EBerlingo 50Kwh (1 Passenger Seat),Citroen,105800,10866,31/5/22,116,108
motorist.sg,Honda NVan + Style Fun Turbo,Honda,72666,7407,27/6/22,117,
motorist.sg,Toyota Town Ace 1.5Gl Auto,Toyota,73777,7646,29/4/22,115,
motorist.sg,Toyota Hiace 2.0 Dx Auto,Toyota,76888,7798,15/7/22,118,
motorist.sg,Toyota Townace 1.5 Gl Auto,Toyota,74777,7577,18/7/22,118,
motorist.sg,Suzuki Every Join Turbo 660 Auto,Suzuki,56800,6222,22/10/21,109,
motorist.sg,Mercedes Benz C180K,Mercedes,59000,9666,13/10/08,73,
motorist.sg,Renault Fluence 1.5 Dci 110 A/T Sr,Renault,47364,11387,31/5/16,44,87724
motorist.sg,Ford Focus 4Dr Titanium 1.0 Gtdi S/S,Ford,50800,9788,22/2/17,53,88000
motorist.sg,Bmw X1 Sdrive18I Led Nav,Bmw,129158,16738,28/2/19,77,69000
motorist.sg,Porsche Panamera SA,Porsche,543333,49843,29/4/21,103,9900
motorist.sg,Honda NVan + Style Fun Turbo,Honda,72800,7373,20/7/22,118,
motorist.sg,Toyota Hiace 2.0 Dx Auto,Toyota,78688,7947,30/7/22,118,
motorist.sg,Nissan Nv350 Panel Van 2.5 5Mt 5Dr Euro V,Nissan,24800,9671,31/3/15,30,
motorist.sg,Mercedes Benz C180 Sedan Avg (R17 Led),Mercedes,172888,19246,7/8/20,95,20000
motorist.sg,Dfsk Ec35,Dfsk,103888,10598,24/6/22,117,
motorist.sg,Kia K2500 6M/T,Kia,19677,10394,29/7/14,22,
motorist.sg,Honda NVan + Style Fun Turbo,Honda,71888,7224,17/8/22,119,
motorist.sg,Mercedes Benz A200 Compt Saln Progressive (R18 Led),Mercedes,126800,17327,14/12/18,75,40000
motorist.sg,Jaguar EPace 1.5P Fwd,Jaguar,182888,18774,30/7/21,106,17000
motorist.sg,Bmw X3 Sdrive20I,Bmw,185888,22062,28/11/19,86,38000
motorist.sg,Bmw 216D Active Tourer D/Ab Led,Bmw,73428,14927,24/11/16,50,83600
motorist.sg,Bmw 218I Gc Led Hl,Bmw,163888,16219,25/6/21,105,16000
motorist.sg,Porsche Panamera G2 Pdk E6,Porsche,398800,49635,25/1/19,76,23500
motorist.sg,Suzuki Swift 1.5 At Abs Airbag 2Wd,Suzuki,12800,11593,15/10/08,13,
motorist.sg,Subaru Exiga Mpv 2.0Gt Turbo Moonroof Awd 5At,Subaru,88800,13857,19/9/09,76,
motorist.sg,Honda Civic 1.8L 5Mt,Honda,20800,14033,4/5/09,17,130000
motorist.sg,Mazda Cx3 SkyactivG 2.0 6At 2Wd,Mazda,68800,12285,1/6/17,56,95000
motorist.sg,Honda Fit 1.3G A,Honda,25888,16519,24/6/09,18,
motorist.sg,Mercedes Benz Cla180 Amg Auto,Mercedes,120800,18360,29/6/18,69,77000
motorist.sg,Mercedes Benz A180 (R17),Mercedes,56000,16337,22/7/15,34,121500
motorist.sg,Toyota Camry Hybrid 2.5 Ascent Sport Cvt,Toyota,152800,16712,5/4/21,102,18000
motorist.sg,Toyota Wish 1.8 Auto,Toyota,17888,11871,10/3/09,18,190000
motorist.sg,Mitsubishi Outlander 2.0 Cvt,Mitsubishi,97888,15354,5/6/18,68,60000
motorist.sg,Honda Civic 2.0L 5At,Honda,18446,14479,16/12/08,15,195000
motorist.sg,Mercedes Benz E300E Amg Night Edition Premium Auto,Mercedes,280500,27827,14/5/21,104,27800
motorist.sg,Mitsubishi Lancer 1.6 M,Mitsubishi,56411,10163,25/3/08,66,
motorist.sg,Mini One 1.6 At Abs D/Airbag 2Wd 3Dr,Mini,34359,11506,16/9/10,35,105900
motorist.sg,Hyundai Hd Avante 1.6 A,Hyundai,15348,11844,24/12/08,15,175000
motorist.sg,Honda Jazz 1.5 Vtir Cvt Abs D/Airbag 2Wd,Honda,55000,12459,4/8/16,46,93500
motorist.sg,Bmw X4 Xdrive20I 4Wd Led Nav,Bmw,89700,24181,24/4/15,31,125530
motorist.sg,Mercedes Benz Gla180 Urban Edition Auto,Mercedes,136237,16989,8/11/19,86,48760
motorist.sg,Honda Stream 1.8L A,Honda,56467,10998,25/10/07,61,130526
motorist.sg,Toyota Wish 1.8 Auto,Toyota,66109,10194,23/3/09,77,128229
motorist.sg,Toyota Wish 1.8 Cvt,Toyota,86117,10007,14/4/11,103,129158
motorist.sg,Mercedes Benz C180 Coupe (R17 Led),Mercedes,131908,23304,12/5/17,56,51000
motorist.sg,Honda Fit 1.3G A,Honda,16800,14194,13/11/08,14,159000
motorist.sg,Mazda 323 S A Abs,Mazda,47800,7276,28/11/02,78,170000
motorist.sg,Honda Vezel Hybrid 1.5 Auto,Honda,67800,13435,17/7/17,58,74000
motorist.sg,Mitsubishi Lancer Ex 1.6 At Led Tail Lamp,Mitsubishi,47800,13005,24/11/15,38,164000
